image_id,sku_id,image_url,image_type
f2cf7020-daf2-4eaa-b130-42511e4672e6,SKU000000,https://cdn.demo.com/SKU000000.jpg,PRIMARY
87e8e238-d808-4af4-b469-08c32e69af59,SKU000001,https://cdn.demo.com/SKU000001.jpg,PRIMARY
820f6130-2ee4-4aa2-abf9-15d6384f4695,SKU000002,https://cdn.demo.com/SKU000002.jpg,PRIMARY
cf571b25-0b2e-4096-bd10-75300204ea25,SKU000003,https://cdn.demo.com/SKU000003.jpg,PRIMARY
0e00c572-e803-4b66-be53-cfd6416fc770,SKU000004,https://cdn.demo.com/SKU000004.jpg,PRIMARY
3f28390e-6b92-4e02-8602-96710dd5d410,SKU000005,https://cdn.demo.com/SKU000005.jpg,PRIMARY
48c4b20d-fb4f-4b45-a133-cb16fcc60bc9,SKU000006,https://cdn.demo.com/SKU000006.jpg,PRIMARY
74c1cec5-bf9c-4dd9-9a30-33b269d7bf14,SKU000007,https://cdn.demo.com/SKU000007.jpg,PRIMARY
1e04a7e0-e461-4aac-b7ac-5d03efa7c681,SKU000008,https://cdn.demo.com/SKU000008.jpg,PRIMARY
3c2a3c6a-53bc-437b-ba95-7c6114ef4d3f,SKU000009,https://cdn.demo.com/SKU000009.jpg,PRIMARY
9067f3bf-6dc9-4360-a5b3-7753e8a54356,SKU000010,https://cdn.demo.com/SKU000010.jpg,PRIMARY
d634cad8-5f2f-4eeb-b59e-3130078d89ba,SKU000011,https://cdn.demo.com/SKU000011.jpg,PRIMARY
3517f6da-a895-4f8d-ba21-9c4f7d2c4467,SKU000012,https://cdn.demo.com/SKU000012.jpg,PRIMARY
53c20247-fe7b-4543-94bd-d422ea7584b2,SKU000013,https://cdn.demo.com/SKU000013.jpg,PRIMARY
df3ad1b3-fff9-496c-a1ea-d0d3119dd41a,SKU000014,https://cdn.demo.com/SKU000014.jpg,PRIMARY
4cad5611-a284-4400-aa55-9db7ccd4e09f,SKU000015,https://cdn.demo.com/SKU000015.jpg,PRIMARY
5114b772-423b-422f-ae69-26554dcbb41e,SKU000016,https://cdn.demo.com/SKU000016.jpg,PRIMARY
76d646cc-617f-4366-b4cd-7a0760e4a018,SKU000017,https://cdn.demo.com/SKU000017.jpg,PRIMARY
bd398bd9-bbcd-4c34-b7aa-c79dbd0384c2,SKU000018,https://cdn.demo.com/SKU000018.jpg,PRIMARY
673f8548-5bad-4e68-a2a6-f12dbb89c3ca,SKU000019,https://cdn.demo.com/SKU000019.jpg,PRIMARY
f66d575f-168e-4aa5-a5c3-3d6dbab7693e,SKU000020,https://cdn.demo.com/SKU000020.jpg,PRIMARY
aa32e34f-2c98-478e-8469-513de18e18c7,SKU000021,https://cdn.demo.com/SKU000021.jpg,PRIMARY
032408f9-3b6d-4415-b5c2-00d93d85caf3,SKU000022,https://cdn.demo.com/SKU000022.jpg,PRIMARY
5b840e62-dbbb-4815-a811-e666644afa3e,SKU000023,https://cdn.demo.com/SKU000023.jpg,PRIMARY
1c45c382-9dfa-4297-8d80-c19103cba8f9,SKU000024,https://cdn.demo.com/SKU000024.jpg,PRIMARY
673b943b-4332-4bb5-920a-b5de1f154cfa,SKU000025,https://cdn.demo.com/SKU000025.jpg,PRIMARY
86e7c777-a7e3-47d0-8038-d7d883974c87,SKU000026,https://cdn.demo.com/SKU000026.jpg,PRIMARY
f2822279-71bb-4af9-bcc9-8fec9c2cc51d,SKU000027,https://cdn.demo.com/SKU000027.jpg,PRIMARY
ca8bbf78-2da8-46f7-92b9-ad0f5344d56a,SKU000028,https://cdn.demo.com/SKU000028.jpg,PRIMARY
fbf0e9fa-3cfe-4b29-a341-6caf2385c9f9,SKU000029,https://cdn.demo.com/SKU000029.jpg,PRIMARY
fc24f7ac-6614-448b-8e71-d2f88a5c9667,SKU000030,https://cdn.demo.com/SKU000030.jpg,PRIMARY
66082d3b-d0b2-4714-b281-dc50e18efded,SKU000031,https://cdn.demo.com/SKU000031.jpg,PRIMARY
a4f61221-f908-436c-828f-857cc12d3d64,SKU000032,https://cdn.demo.com/SKU000032.jpg,PRIMARY
bc7cec97-b479-46a8-a866-c4a419ad5562,SKU000033,https://cdn.demo.com/SKU000033.jpg,PRIMARY
e0e755f4-ad69-4702-b83a-be275b6cfa1c,SKU000034,https://cdn.demo.com/SKU000034.jpg,PRIMARY
a0e626be-0aae-461d-8da0-d5abda312a5a,SKU000035,https://cdn.demo.com/SKU000035.jpg,PRIMARY
7b333df5-8c43-4f2f-b76a-d612f7a45305,SKU000036,https://cdn.demo.com/SKU000036.jpg,PRIMARY
3599f751-cef8-48f4-840e-71731fe144cb,SKU000037,https://cdn.demo.com/SKU000037.jpg,PRIMARY
