price_id,sku_id,mrp,selling_price,discount_pct,effective_date
da0eae04-8799-4104-999f-2a30fcdcff15,SKU000000,5142,4104.91,20.17,2026-09-20
e55d775d-2faa-43f5-a851-7a54fd841ca8,SKU000001,3034,1865.03,38.53,2026-09-20
2e263b5f-8af7-41ba-a7bd-aa547880acb8,SKU000002,14625,14250.5,2.56,2026-09-20
18dc58fe-0ea4-4de0-a7bc-bb45747579e2,SKU000003,9536,5288.61,44.54,2026-09-20
f26cf5d8-e3ea-4b59-bfb4-a8c5b41bb4b9,SKU000004,2536,1810.42,28.61,2026-09-20
6608618d-e6f6-4873-818f-621d727d7248,SKU000005,3546,3283.13,7.41,2026-09-20
12726dfd-ae5b-409d-94c1-4d1f33e7dc9c,SKU000006,1357,1177.19,13.25,2026-09-20
516e5e84-9bfb-40d3-b491-2eb2d9ade0dd,SKU000007,11030,8644.54,21.63,2026-09-20
abf746c0-c735-43ee-9c82-f2c0389b58bc,SKU000008,5106,2868.75,43.82,2026-09-20
1d0dfaf1-e5a9-4cb9-a93e-da143c277e32,SKU000009,8850,8578.65,3.07,2026-09-20
a7ed4008-5963-4cc8-a991-f778d1f20e2c,SKU000010,8762,6144.96,29.87,2026-09-20
a5ec5a0c-4cf0-4d8a-8178-a6b02fa6f39d,SKU000011,5695,3579.35,37.15,2026-09-20
1c927656-3c32-4b0a-84f9-4ff5c16852a7,SKU000012,5650,4386.88,22.36,2026-09-20
a7e99db0-d526-44b8-9057-6e7455c84eb9,SKU000013,5596,3506.17,37.35,2026-09-20
cce115f8-2806-40bc-9b35-d852bfbc7e95,SKU000014,14278,12018.77,15.82,2026-09-20
3ab44a8f-7390-45f4-9917-3f81fb61aacc,SKU000015,14291,13604.58,4.8,2026-09-20
f9354b2c-f45a-4ecd-9b28-73a7acf64a92,SKU000016,7907,7585.67,4.06,2026-09-20
885b6b63-9509-47bf-9351-4ff31cb6d7d6,SKU000017,4589,3826.28,16.62,2026-09-20
8ea54945-dac5-4f09-ba9b-207697186cb9,SKU000018,8690,7678.99,11.63,2026-09-20
02e12680-7278-4801-926c-f3d10de66865,SKU000019,4667,2886.16,38.16,2026-09-20
53db9b82-c54c-4f15-9bf1-2b8d26d17574,SKU000020,7570,4595.58,39.29,2026-09-20
88c7a4d2-e722-4f63-b80e-cd534a18bef5,SKU000021,6607,6339.03,4.06,2026-09-20
d538cbf0-0bba-4afd-b634-6d27be5519e9,SKU000022,11203,9047.59,19.24,2026-09-20
abf08e87-ae73-458a-a2b2-db998012b0be,SKU000023,7907,7115.29,10.01,2026-09-20
b13b7754-046f-4671-bb7d-01b832bc60cd,SKU000024,7864,5770.35,26.62,2026-09-20
e0bbc3f1-6b87-45f9-b51d-e6d7c0e89c3b,SKU000025,4895,3887.65,20.58,2026-09-20
7d60ad36-ee51-4fb2-a710-f637d4be1ff1,SKU000026,2439,2020.78,17.15,2026-09-20
8982023f-4b64-4331-9507-015cda695b9c,SKU000027,10040,5612.55,44.1,2026-09-20
b09a762b-8aac-4d99-8e22-48a54d8a2606,SKU000028,5815,3581.36,38.41,2026-09-20
5f464370-3af0-434c-9d9e-00f5a983d12c,SKU000029,8152,6800.67,16.58,2026-09-20
245828a2-dfb5-468c-a723-e50133eadb56,SKU000030,10049,5356.96,46.69,2026-09-20
2831acb7-fbe6-4cad-95e5-e8e1271bbd41,SKU000031,9743,5371.33,44.87,2026-09-20
b91c142c-ded9-4855-bed5-8e17f731eaf2,SKU000032,1699,938.0,44.79,2026-09-20
930211a1-5126-40f0-8e41-092aa0cfb0a3,SKU000033,1895,1499.24,20.88,2026-09-20
c29449ac-4295-4855-b29e-5bc1eed9f544,SKU000034,6742,4233.28,37.21,2026-09-20
9aef4f54-6553-4f58-9c30-4874d4a10353,SKU000035,5651,5329.7,5.69,2026-09-20
990e37e3-288f-4f6a-8563-fe134e7970b3,SKU000036,4428,3045.28,31.23,2026-09-20
9de3477b-1dde-47aa-9f19-4412e2fe7f35,SKU000037,1168,685.72,41.29,2026-09-20
11715bd2-5d8a-4bdb-9829-43837b8385c8,SKU000038,5893,4049.78,31.28,2026-09-20
eb4d8545-412e-4ff0-b5c9-9a1905dacbdc,SKU000039,3425,1878.97,45.14,2026-09-20
d54ab717-78f7-4433-8bd7-039721c5fede,SKU000040,9198,6637.4,27.84,2026-09-20
a0fec1de-862a-4805-8b9e-8b6fdbdff4c7,SKU000041,12802,10747.5,16.05,2026-09-20
dd396a4a-818c-421e-938a-5d400bcc8891,SKU000042,1967,1045.31,46.86,2026-09-20
1a341abc-6e28-4703-b824-1ac00c1db9a7,SKU000043,10725,7129.23,33.53,2026-09-20
2912be49-1a97-42b2-8e3a-4c0ccba72e1a,SKU000044,1432,1217.57,14.97,2026-09-20
7addc990-5ff4-434e-b64f-8b3d7b7ff579,SKU000045,9845,5409.9,45.05,2026-09-20
df67d7e6-3e19-4dc9-903d-2c718e82f69a,SKU000046,14400,10217.17,29.05,2026-09-20
d59e6756-dd6b-4db6-b326-96711fb8c49a,SKU000047,5381,5123.09,4.79,2026-09-20
66dd3a31-83b4-49f3-8023-f94b358f7736,SKU000048,2173,1923.09,11.5,2026-09-20
